Vendor,Vendor type,Contacto preferente,Lugar,Numero telefonico ,FACTURA?,RFC,Notas
DHARMA CLEAN ,Mediana,,haciendas,4491819901,SI,RIHJ011016HA6,
DON PULCRO,Mediana,,Valle del Campestre,4493880264,SI,DPU991209HW4,
ALLL CLEAN,Chica,,Pocitos,4493376016,SI,-,nuevo
MAYOR CLEAN,Mediana,,Paseo de Las Maravillas,4497546670 ,SI,-,nuevo
 LARA CLEAN,Mediana,,Villas de San Nicolás,4492516067,SI,-,nuevo 
Gon Ma,Chica,,H-E-B Santa Monica,4492862093,,,
Dr Clean,Mediana,,Casa Blanca,4493642092,,,
HIPERCLEAN,Mediana,,Cerca de Tule,4499171543,,,
